run_json,sha256,status,frequency_mhz,configuration,mode,gain_db,port,dwell_us,accepted_duration_s,missing_samples_before_rejected_block,rx1_peak,rx2_peak,error,final_source_mute
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/ambient-2450-A-g30-f100000-20260908T165720.236787Z/run.json,61973c0c5263a08a6b5688a54c15b54c7a19aec4590c5b09e3374ba021e9b1d8,passed,2450.0,A,ambient,30,ANT1,,2.0,0,24.0,372.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/ambient-2450-A-g30-f200000-20260908T165907.353639Z/run.json,ac63584c154ec1da673ff5caffd00b803b2748a930087140a4c09d4838e55c35,passed,2450.0,A,ambient,30,ANT1,,2.0,0,25.0,366.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/ambient-2450-A-g30-f50000-20260908T165758.835984Z/run.json,29ce05325f7a0ee154df0710ac586aeb404e39828dbd05d0f72d69037340d3bc,passed,2450.0,A,ambient,30,ANT1,,2.0,0,24.0,368.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r1-1000us-20260908T164443.275303Z/run.json,c6adb9352abdce06d3510c229111ddd72b9e9496aab3444ea91531e1a39884a7,passed,5800.0,A,fast,60,,1000,4.0,0,227.0,81.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r1-200us-20260908T164419.671459Z/run.json,f919aae393cb2463ac374a24f22a98747b887330d536351cce195d1a08a7c8cb,passed,5800.0,A,fast,60,,200,4.0,0,226.0,54.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r1-200us-control-20260908T164428.709688Z/run.json,cd229d771a9fe1de39ec7c9ffeeb69ea068a199cead1e1fa6789e1b162dafa8f,passed,5800.0,A,fast,60,,200,4.0,0,224.0,91.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r2-1000us-20260908T164452.460598Z/run.json,b9e899059d5da493991735c75d685889fe0b80f87c0e7092c43f30a2fedc3fea,passed,5800.0,A,fast,60,,1000,4.0,0,227.0,55.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r2-200us-20260908T164516.579171Z/run.json,e58c2c67d8cb7a675feded6f208bdc2d8819cd254e39839c15be1909ce5d0a68,passed,5800.0,A,fast,60,,200,4.0,0,223.0,57.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r2-200us-control-20260908T164507.629421Z/run.json,1bb93a203e6e5fdc0dd0b55328ab302fc3aac9367bb92ac827e7b4837233bfdd,passed,5800.0,A,fast,60,,200,4.0,0,224.0,84.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r3-1000us-20260908T164540.641590Z/run.json,b58fb72d06f42ae8c89861ec1630a18931fa54cc747cef322fcd330bdb41250e,passed,5800.0,A,fast,60,,1000,4.0,0,224.0,82.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r3-200us-20260908T164525.695849Z/run.json,5f61b3e45ef9702bbd4e095fc2e8970294a8bc9342802ac43be3e98aa79ce03a,passed,5800.0,A,fast,60,,200,4.0,0,226.0,84.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r3-200us-control-20260908T164555.467050Z/run.json,0e40e585c105730cc363da8a6c78c4f4699edd41286bb5074f8a5bef9dc5c7c6,passed,5800.0,A,fast,60,,200,4.0,0,224.0,69.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-after-ANT1-20260908T164736.334672Z/run.json,709cb2e62a86f4f4acb7cd645f7da616afb88eff6fd1d7a13ae3d8287739f54e,passed,5800.0,A,static,60,ANT1,,2.0,0,225.0,50.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-after-ANT2-20260908T164722.809510Z/run.json,48f5cc1328a4468f3e34ab828974918aa16d87476960dbca079622a9033795b7,passed,5800.0,A,static,60,ANT2,,2.0,0,222.0,32.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-after-ANT4-20260908T164709.070295Z/run.json,128a847f8a65f338afa833a6309790347b717c897200735917abd948cadf1a2e,passed,5800.0,A,static,60,ANT4,,2.0,0,224.0,30.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-after-ANT5-20260908T164623.928059Z/run.json,4be46cef404c7393de5a77175f9717e13bec15e6b1a5d8ff96f4ba81503559c4,passed,5800.0,A,static,60,ANT5,,2.0,0,225.0,32.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-after-ANT7-20260908T164638.596513Z/run.json,88d60a7f499d9967c1820a15554f9667f950ee548f878278cb8435d3472d2d2f,passed,5800.0,A,static,60,ANT7,,2.0,0,223.0,30.0,,True
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-after-ANT8-20260908T164654.166976Z/run.json,2f1785a4ca350e844cda2a5ab67a3d1f0a9df5d69124e90f40a760826b7532af,passed,5800.0,A,static,60,ANT8,,2.0,0,228.0,36.0,,True
